R	re	n	mu
20.56	1.38	0.60	23.8
20.43	1.40	0.82	23.8
20.43	1.46	0.95	23.8
20.81	1.47	1.15	23.8
20.50	1.52	0.99	23.8
20.97	2.23	1.55	23.8
20.08	2.94	1.40	23.8
20.70	1.41	0.92	23.9
20.35	1.58	0.89	23.9
20.25	1.59	0.84	23.9
20.64	1.60	0.87	23.9
20.80	1.66	1.39	23.9
20.23	1.67	0.65	23.9
20.72	1.77	1.28	23.9
20.58	2.50	1.55	23.9
21.27	3.11	2.71	23.9
20.33	3.53	1.73	23.9
20.69	1.46	0.96	24.0
20.77	1.47	0.74	24.0
19.92	2.25	0.90	24.0
20.41	2.30	0.84	24.0
19.63	3.42	0.93	24.0
20.73	1.53	0.77	24.1
20.91	1.64	0.84	24.1
20.93	1.65	1.12	24.1
20.67	1.72	1.07	24.1
20.87	1.92	1.18	24.1
20.30	2.27	1.03	24.1
20.16	3.29	0.94	24.2
20.81	1.35	0.57	24.3
20.77	1.48	0.74	24.3
21.08	2.05	1.26	24.3
20.01	2.42	0.91	24.3
20.01	3.07	1.01	24.3
20.87	1.35	0.86	24.4
22.12	1.54	1.44	24.4
21.90	1.66	1.78	24.4
20.81	1.92	0.81	24.4
20.19	2.02	0.68	24.4
21.14	1.49	0.78	24.5
21.48	1.54	0.65	24.5
21.49	1.96	1.32	24.5
21.11	2.05	0.82	24.5
21.20	1.36	0.83	24.6
20.88	3.88	1.00	24.8
21.31	1.62	0.73	24.9
20.57	3.38	0.88	24.9
21.08	1.44	0.54	25.1
22.38	1.54	0.84	25.1
21.80	1.56	0.96	25.1
21.41	1.80	0.76	25.1
22.23	3.02	1.72	25.1
22.09	1.36	1.22	25.2
21.62	1.69	0.86	25.2
21.84	1.76	0.87	25.3
22.88	1.99	1.67	25.3
21.92	1.41	0.92	25.4
21.83	1.66	0.73	25.4
22.22	1.45	0.66	25.5
21.62	1.53	0.78	25.5
22.82	1.36	0.83	25.6
21.71	2.09	0.81	25.6
23.28	2.66	0.83	25.6
22.54	1.58	0.74	25.8
22.89	2.26	1.07	25.8
22.26	1.38	0.46	25.9
20.99	3.05	0.46	25.9
22.24	1.48	0.63	26.2
22.39	1.54	0.33	26.2
22.24	2.65	0.77	26.2
23.93	1.38	0.47	26.8
